movie_slug,role_name,original_actor,suggestions
the-matrix,Neo,Keanu Reeves,Tom Holland; Jacob Elordi; Andrew Garfield; Jake Gyllenhaal; Ansel Elgort
the-matrix,Morpheus,Laurence Fishburne,Denzel Washington; Idris Elba; Morgan Freeman; Liam Neeson; Mahershala Ali; Sterling K. Brown
the-matrix,Trinity,Carrie-Anne Moss,Zendaya; Charlize Theron; Ana de Armas; Rebecca Ferguson; Scarlett Johansson; Elizabeth Olsen; Hailee Steinfeld; Alicia Vikander
the-matrix,Agent Smith,Hugo Weaving,Tom Hardy; Jude Law; Mark Strong; Jon Bernthal; Michael Shannon; Mads Mikkelsen; Ralph Fiennes
the-matrix,Oracle,Gloria Foster,Toni Collette; Michelle Pfeiffer; Julianne Moore; Jamie Lee Curtis; Meryl Streep; Kate Winslet; Frances McDormand; Cate Blanchett
the-matrix,Cypher,Joe Pantoliano,Shia LaBeouf; Walton Goggins; Edward Norton; Jesse Plemons; Joaquin Phoenix; Michael Shannon; Jack O'Connell
the-matrix,Tank,Marcus Chong,John Cena; Dave Bautista; Jason Momoa; Dwayne Johnson; Alan Ritchson; Vin Diesel; Tyrese Gibson
terminator-2,The Terminator,Arnold Schwarzenegger,Jason Statham; Dave Bautista; Dolph Lundgren; Jean-Claude Van Damme; Jet Li; Scott Adkins; Vin Diesel; Tom Hardy
terminator-2,Sarah Connor,Linda Hamilton,Charlize Theron; Jessica Biel; Michelle Pfeiffer; Rosamund Pike; Rebecca Ferguson; Ana de Armas; Angelina Jolie; Kate Winslet
terminator-2,John Connor,Edward Furlong,Tom Holland; Jacob Elordi; Finn Wolfhard; Joe Keery; Noah Fearnley; Jack O'Connell; Andrew Garfield
terminator-2,T-1000,Robert Patrick,Tom Cruise; Jake Gyllenhaal; Ryan Gosling; Cillian Murphy; Jude Law; Tom Hardy; Barry Keoghan; Benedict Cumberbatch
terminator-2,Dr. Silberman,Earl Boen,Morgan Freeman; Tom Hanks; Ed Harris; Kevin Bacon; George Clooney; Ralph Fiennes; Kurt Russell; J.K. Simmons
terminator-2,Miles Dyson,Joe Morton,Denzel Washington; Idris Elba; Dwayne Johnson; Dave Bautista; Giancarlo Esposito
terminator-2,Tarissa Dyson,S. Epatha Merkerson,Halle Berry; Zoe Saldaña; Regina King; Lupita Nyong'o; Jurnee Smollett; Kerry Washington
aliens,Ripley,Sigourney Weaver,Charlize Theron; Rebecca Ferguson; Morena Baccarin; Emilia Clarke; Rosamund Pike; Rachel McAdams; Kate Winslet; Zoe Saldaña
aliens,Newt,Carrie Henn,Mckenna Grace; Elle Fanning; Sadie Sink; Millie Bobby Brown; Emma Myers; Dafne Keen; Paisley Cadorath; Isabel May
aliens,Corporal Hicks,Michael Biehn,Pedro Pascal; Jake Gyllenhaal; Tom Hardy; Alan Ritchson; Jack O'Connell; Jesse Plemons; Josh Brolin; Jon Bernthal
aliens,Burke,Paul Reiser,Cillian Murphy; Simon Baker; Barry Keoghan; Aidan Gillen; Jude Law; Edward Norton; Mark Strong; Javier Bardem
aliens,Bishop,Lance Henriksen,Udo Kier; Tony Leung Chiu-wai; Ralph Fiennes; Mads Mikkelsen; Benedict Cumberbatch; Jude Law; Willem Dafoe
aliens,Private Hudson,Bill Paxton,Shia LaBeouf; Walton Goggins; Jensen Ackles; Tyriq Withers; Nicholas Brendon; Joe Keery; Finn Wolfhard
aliens,Lieutenant Gorman,William Hope,Liam Neeson; Ed Harris; Kevin Bacon; George Clooney; Matthew McConaughey; Sam Elliott; Stephen Graham; Chris Hemsworth
blade-runner,Deckard,Harrison Ford,Ryan Gosling; Jake Gyllenhaal; Matthew McConaughey; Jude Law; Tom Hardy; Pedro Pascal; Edward Norton; Jon Bernthal
blade-runner,Batty,Rutger Hauer,Tom Hardy; Jason Momoa; Vin Diesel; Dave Bautista; Idris Elba; Javier Bardem; Mads Mikkelsen; Ralph Fiennes
blade-runner,Rachael,Sean Young,Ana de Armas; Rebecca Ferguson; Emilia Clarke; Anya Taylor-Joy; Emma Stone; Scarlett Johansson; Margot Robbie; Elle Fanning
blade-runner,Gaff,Edward James Olmos,Jude Law; Aidan Gillen; Mark Strong; Tony Leung Chiu-wai; Cillian Murphy; Benedict Cumberbatch; Pedro Pascal; Jack O'Connell
blade-runner,Bryant,M. Emmet Walsh,Morgan Freeman; Denzel Washington; Liam Neeson; Ed Harris; Michael Shannon; Walton Goggins; Kevin Bacon; Jeffrey Dean Morgan
blade-runner,Pris,Daryl Hannah,Charlize Theron; Megan Fox; Zoe Saldaña; Penélope Cruz; Angelina Jolie; Halle Berry; Milla Jovovich
blade-runner,Sebastian,William Sanderson,Jacob Elordi; Jack O'Connell; Hayden Christensen; Theo James; Andrew Garfield; Tom Holland; Joseph Gordon-Levitt
the-dark-knight,Bruce Wayne,Christian Bale,Ryan Gosling; Jake Gyllenhaal; Michael Fassbender; Tom Hardy; Andrew Garfield
the-dark-knight,Joker,Heath Ledger,Joaquin Phoenix; Barry Keoghan; Jack O'Connell; Edward Norton; Adrien Brody; Jude Law; Walton Goggins; Stephen Graham
the-dark-knight,Harvey Dent,Aaron Eckhart,Josh Brolin; Michael Fassbender; Luke Evans; Jon Bernthal; Jack O'Connell; Jude Law
the-dark-knight,Alfred,Michael Caine,Ralph Fiennes; Liam Neeson; Kurt Russell; Harrison Ford; Sam Elliott; John Lithgow; Javier Bardem; Ed Harris
